user_name,user_followers,vid_id,vid_caption,vid_postTime,vid_scrapeTime,vid_duration,vid_nview,vid_nlike,vid_ncomment,vid_nshare,vid_nsave,vid_hashtags,vid_url,music_id,music_title,music_nused,music_authorName,music_originality
hoaminzy_hoadambut,6.5M,7477145543064521992,Bắc Ninh vốn trọng chữ tình 🥰,2025-03-02 09:43:29,2025-05-15 13:45:42,00:23,40.5M,2.3M,32.2K,56.1K,105.8K,"bacbling, hoaminzy, bacninh, xuanhinh",https://www.tiktok.com/@hoaminzy_hoadambut/video/7477145543064521992,,Bắc Bling (Bắc Ninh) (Prod. by Masew) - Hòa Minzy & NSUT Xuân Hinh & Tuấn Cry,,,
benam410,33.5K,7479452835134868757,Ăn sáng 1 phần còn cất dành tiền mua Nguyên liệu tạo bất ngờ tự tay làm Bánh Tặng Mẹ🤣🤣  mắc Đi học cả Ngày tối về làm len lén mà Bị Mẹ la  bày Phá nên Em cọc🤣🤣🤣😂😂 yêu Trai Cưng,2025-03-08 14:56:57,2025-05-15 13:46:00,00:15,30.5M,845.1K,24.1K,249.2K,45.2K,,https://www.tiktok.com/@benam410/video/7479452835134868757,7.479452888071245e+18,nhạc nền - Kẹo Tim Đỏ,74 videos,Kẹo Tim Đỏ,False
tinathaothi,4.5M,7498382042556566791,quá đẹp quá đỗi tự hào Việt Nam mình ơiiii 🇻🇳❤️,2025-04-28 15:11:57,2025-05-15 13:46:24,04:14,36.4M,3.8M,57.4K,652.2K,265K,"tinathaothi, tinathaothidaily",https://www.tiktok.com/@tinathaothi/video/7498382042556566791,7.032129404927315e+18,nhạc nền - Đam Mê Bóng Đá,72.6K videos,Đam Mê Bóng Đá👻💖,False
m.ry.du.da,13K,7499328608528256274,Chỉ vì vài giây lơ là thôi mà em mẹ phải chịu đau đớn.,2025-05-01 04:25:06,2025-05-15 13:46:51,00:14,33.2M,455.6K,28.4K,130.3K,27K,thuongconcuame,https://www.tiktok.com/@m.ry.du.da/video/7499328608528256274,7.499328661104184e+18,nhạc nền - Bùi Huyền,18 videos,Bùi Huyền,False
kyduyn997,1.1M,7480780797914483969,,2025-03-12 04:50:08,2025-05-15 13:47:15,00:00,,689.8K,2832,17.2K,20.6K,đkasigon,https://www.tiktok.com/@kyduyn997/video/7480780797914483969,,Give Me L.S.D - Hendorphin & Jeiff,,,
sin_nmt,524.8K,7480780797914483969,,2025-03-12 04:50:08,2025-05-15 13:47:33,01:01,,96.7K,604,5928,3714,,https://www.tiktok.com/@sin_nmt/video/7480780797914483969,7.301168691641732e+18,nhạc nền - Nghe gió nhớ cố nhân - 听风忆故人,39K videos,Nghe gió nhớ cố nhân - 听风忆故人,False
10a7_k43,7540,7498891908199025938,7 outfit cho các chị em lựa🤣,2025-04-30 00:10:29,2025-05-15 13:47:53,,,497K,7714,173.5K,22.8K,"xhuongtiktok, beautycam, fypシ, viralvideo, lophocvuinhon, hocsinhcap3, 10a7",https://www.tiktok.com/@10a7_k43/video/7498891908199025938,,nhạc nền  - Tiến An Music 🦅,,,
double_qa_,6481,7498891908199025938,Chưa đủ wow nhưng theo dòng sự kiện🇻🇳. Đàng gái đâu hết rồiiiiii,2025-04-30 00:10:29,2025-05-15 13:48:04,00:27,1.3M,206.2K,1235,5907,9879,"xuhuong, chubodoi, pyf, giaiphongmiennam3041975, capcut",https://www.tiktok.com/@double_qa_/video/7498891908199025938,,nhạc nền  - tranthuytm1988,,,
tttk888.vn,305.2K,7478343506247814408,tinh tế dữ chưa tôn băng pháp,2025-03-05 15:12:12,2025-05-15 13:48:15,00:23,10.2M,391.4K,2569,7888,18.1K,tiktokgiaitri,https://www.tiktok.com/@tttk888.vn/video/7478343506247814408,7.335685070639795e+18,nhạc nền - 𝐀𝐆𝐂 𝐐 𝐍 𝐊 𝐀 𝐍 ᰔᩚ,2249 videos,anhjay689,False
vuvatram,20.9K,7499126978633534728,Bat cong quá vậy trời,2025-04-30 15:22:41,2025-05-15 13:48:32,00:24,5.6M,192.3K,1383,69.3K,8942,couple,https://www.tiktok.com/@vuvatram/video/7499126978633534728,6.817195494956075e+18,Piano famous song Chopin Deep deep clear beauty,217.6K videos,,False
nqc_vaz,7991,7486348059841023240,chị nào cũng bảnh=)),2025-03-27 04:53:57,2025-05-15 13:48:48,00:29,2.5M,250.2K,4253,7683,29.4K,"quynu, khinhanchimtrove, truongphongdo, macvuvangian, ngvan, xh, vairal",https://www.tiktok.com/@nqc_vaz/video/7486348059841023240,7.486348087162621e+18,nhạc nền - 𝙣𝙫,302 videos,𝙣𝙫,False
_t.nza06_,16.4K,7475652255031512338,wo ai nò bản 2,2025-02-26 09:08:46,2025-05-15 13:49:05,00:15,,426.1K,5733,20K,23.5K,trending,https://www.tiktok.com/@_t.nza06_/video/7475652255031512338,7.290135034126667e+18,nhạc nền - TIGER BRO REMIX,138.7K videos,TIGER BRO REMIX,False
ttinflyou,795.1K,7500529545691401490,Cô đi đâu rồi ta,2025-05-04 10:05:21,2025-05-15 13:49:22,00:57,5.5M,347.8K,3526,27.2K,17.1K,,https://www.tiktok.com/@ttinflyou/video/7500529545691401490,7.500529578421014e+18,nhạc nền - Chú Tín,3 videos,Chú Tín,False
cuonglisuvietnam,3444,7497646599812697352,Em tệ lắm😅😅,2025-04-26 15:38:03,2025-05-15 13:49:35,00:24,8.7M,376.1K,18.4K,360.5K,16.1K,"cườnglisu, giảitrí",https://www.tiktok.com/@cuonglisuvietnam/video/7497646599812697352,7.497646629773577e+18,nhạc nền - CƯỜNG LISU VIỆT NAM (同高強 )❤️,45 videos,CƯỜNG LISU VIỆT NAM (同高強 )❤️,False
phapluatxahoi,64.3K,7499322834574085422,,2025-05-01 04:02:42,2025-05-15 13:49:50,01:53,3.5M,14.7K,150,482,1544,"kysumeo, phapluatxahoivn",https://www.tiktok.com/@phapluatxahoi/video/7499322834574085422,7.499322974701473e+18,nhạc nền - KỸ sư MÉO,1 videos,KỸ sư MÉO,False
nguyennana.2006,986.2K,7501584392335248647,quá 👀💧,2025-05-07 06:18:42,2025-05-15 13:50:08,00:51,5.5M,109.4K,5792,677,4110,"khó, thỏ, edit, kienthuc, fyb, xuhuong",https://www.tiktok.com/@nguyennana.2006/video/7501584392335248647,7.284509271058861e+18,nhạc nền - SHARK REMIX 🦈⚜️,74.9K videos,SHARK REMIX 🦈⚜️,False
zune.zx,2.8M,7477814901403061512,Chị gái có xinh đến mấy thì trong mắt em ruột vẫn là ác wỷ🤡,2025-03-04 05:00:56,2025-05-15 13:50:23,01:20,2.9M,112K,615,6126,5724,"zunezxteam, zunezx",https://www.tiktok.com/@zune.zx/video/7477814901403061512,7.477815034324749e+18,nhạc nền - Zune.zx - Thời Trang Thiết Kế,26 videos,Zune.zx - Thời Trang Thiết Kế,False
sachhay.tv,516.1K,7473856254641736978,"Bạn chỉ sống 1 lần, hãy sống 1 cuộc đời không hối tiếc",2025-02-21 12:59:22,2025-05-15 13:50:39,02:23,,181.7K,2056,23.2K,17K,"trietlysong, trietlycuocsong, baihoccuocsong, sachhay",https://www.tiktok.com/@sachhay.tv/video/7473856254641736978,7.473856296354188e+18,nhạc nền - Sách hay ✅,385 videos,Sách hay ✅,False
