user_name,user_followers,vid_id,vid_caption,vid_postTime,vid_scrapeTime,vid_duration,vid_nview,vid_nlike,vid_ncomment,vid_nshare,vid_nsave,vid_hashtags,vid_url,music_id,music_title,music_nused,music_authorName,music_originality
benam410,33.8K,7479452835134868757,Ăn sáng 1 phần còn cất dành tiền mua Nguyên liệu tạo bất ngờ tự tay làm Bánh Tặng Mẹ🤣🤣  mắc Đi học cả Ngày tối về làm len lén mà Bị Mẹ la  bày Phá nên Em cọc🤣🤣🤣😂😂 yêu Trai Cưng,2025-03-08 14:56:57,2025-05-18 08:10:52,00:15,30.7M,848K,24.1K,249.6K,45.4K,,https://www.tiktok.com/@benam410/video/7479452835134868757,7.479452888071245e+18,nhạc nền - Kẹo Tim Đỏ,76 videos,Kẹo Tim Đỏ,False
tinathaothi,4.5M,7498382042556566791,quá đẹp quá đỗi tự hào Việt Nam mình ơiiii 🇻🇳❤️,2025-04-28 15:11:57,2025-05-18 08:11:05,04:14,36.7M,3.8M,57.4K,652.5K,265.1K,"tinathaothi, tinathaothidaily",https://www.tiktok.com/@tinathaothi/video/7498382042556566791,7.032129404927315e+18,nhạc nền - Đam Mê Bóng Đá,72.2K videos,Đam Mê Bóng Đá👻💖,False
m.ry.du.da,13.2K,7499328608528256274,Chỉ vì vài giây lơ là thôi mà em mẹ phải chịu đau đớn.,2025-05-01 04:25:06,2025-05-18 08:11:21,00:14,33.8M,459.8K,28.5K,131K,27.2K,thuongconcuame,https://www.tiktok.com/@m.ry.du.da/video/7499328608528256274,7.499328661104184e+18,nhạc nền - Bùi Huyền,20 videos,Dưa hấu Family 🍒🍓🍉,False
bunny_12th3,4272,7498954866329406738,Phần 1,2025-04-30 04:14:48,2025-05-18 08:11:36,03:13,2.5M,39.2K,414,788,2625,"xh, viral, fpy, eira_gr🥕, xuhuong, fpyシ, uyn1411",https://www.tiktok.com/@bunny_12th3/video/7498954866329406738,7.49895497143062e+18,nhạc nền - 𝘽𝙪𝙣𝙣𝙮,1 videos,𝘽𝙪𝙣𝙣𝙮,False
taitoi.tiktokvn,604.3K,7492756804569500945,mỳ gói thập cẩm cả nhà ơi,2025-04-13 11:23:09,2025-05-18 08:11:50,05:57,4.9M,72.9K,3206,3537,3354,,https://www.tiktok.com/@taitoi.tiktokvn/video/7492756804569500945,7.367304051358535e+18,nhạc nền - Hưởng Đá Đời Thường🌏,562.5K videos,Hưởng Đá Đời Thường ⭐️,False
lynhaky76,918.5K,7492616051914542344,cô giáo bị tào tháo dí cả ngày để khỏi phải học.,2025-04-13 02:16:58,2025-05-18 08:12:04,07:08,,29.3K,741,1315,4397,muốn,https://www.tiktok.com/@lynhaky76/video/7492616051914542344,7.492616147804835e+18,nhạc nền - 🥀🥀 làm lại từ đầu 🥀🥀,5 videos,🥀🥀 làm lại từ đầu 🥀🥀,False
tantoiradiofficialnew,5735,7501991835766639880,Nghe và cảm..,2025-05-08 08:39:47,2025-05-18 08:12:17,00:45,2.3M,154.1K,1715,7369,10K,"tantoiradio, learnontiktok, leuheu, latmat8vongtaynang",https://www.tiktok.com/@tantoiradiofficialnew/video/7501991835766639880,7.501991902720445e+18,nhạc nền - Tấn Tới Radio Official,36 videos,Tấn Tới Radio Official,False
trang___lade,338.3K,7503928783792016658,🎬 30 CHƯA PHẢI LÀ HẾT,2025-05-13 13:56:08,2025-05-18 08:12:32,03:34,1.2M,40.2K,128,269,1486,"tranglade, phimhay",https://www.tiktok.com/@trang___lade/video/7503928783792016658,7.5039291408869e+18,nhạc nền - 𝓣𝓻𝓪𝓷𝓰 𝓛𝓪𝓭𝓮,1 videos,𝓣𝓻𝓪𝓷𝓰 𝓛𝓪𝓭𝓮,False
tttk888.vn,305.4K,7478343506247814408,tinh tế dữ chưa tôn băng pháp,2025-03-05 15:12:12,2025-05-18 08:12:47,00:23,10.3M,394.2K,2585,8008,18.2K,tiktokgiaitri,https://www.tiktok.com/@tttk888.vn/video/7478343506247814408,7.335685070639795e+18,nhạc nền - 𝐀𝐆𝐂 𝐐 𝐍 𝐊 𝐀 𝐍 ᰔᩚ,2275 videos,anhjay689,False
hkh159357,2.8M,7476092274653269266,Giếng Lửa | Tập 9,2025-02-27 13:36:16,2025-05-18 08:13:04,00:59,,509.7K,4057,8433,27.7K,huyseoul,https://www.tiktok.com/@hkh159357/video/7476092274653269266,7.476092303086472e+18,nhạc nền - Khánh Hà 💠,59 videos,Khánh Hà 💠,False
nhacmusic120,1.4M,7494577993273199890,Không nghe hơi phí 🤡 | Hãy Đeo Tai Nghe Để Có Trải Nghiệm Tốt Nhất 🎧 |,2025-04-18 09:10:18,2025-05-18 08:13:18,01:00,,145.3K,1578,4490,11.7K,"jhmusic, nhachaymoingay, music, nhac, 8d, remix, bass, chill",https://www.tiktok.com/@nhacmusic120/video/7494577993273199890,7.488249839478722e+18,nhạc nền - Hưng Music 🎧✈,6988 videos,Hưng Music 🎧✈,False
cthlam_11,4816,7498325140544015623,,2025-04-28 11:31:08,2025-05-18 08:13:34,00:09,2.5M,191K,1985,36.5K,11.3K,"xuhuong, vairal, abcxyz",https://www.tiktok.com/@cthlam_11/video/7498325140544015623,7.451593594115427e+18,nhạc nền - Phạm Tố Uyên,2696 videos,Phạm Tố Uyên,False
hoang.thin548,4140,7499373227731356946,,2025-05-01 07:18:15,2025-05-18 08:13:49,03:06,2.2M,59.9K,515,5741,2023,,https://www.tiktok.com/@hoang.thin548/video/7499373227731356946,7.499373264901361e+18,nhạc nền - Sư Tử Hà Đông,1 videos,Sư Tử Hà Đông,False
hm.thao,2568,7497929234493623560,Lòng tốt đặt sai vtri :)),2025-04-27 09:54:49,2025-05-18 08:14:02,00:05,3.1M,127.8K,883,29.9K,2915,"xh, fyp",https://www.tiktok.com/@hm.thao/video/7497929234493623560,6.753941543469485e+18,Bản Tình Ca Không Hoàn Thiện (행복을 찾아서),43.3K videos,Trương Bảo Ngọc,False
traidepnef1,24.2K,7502034411777510663,Nay luyện viết chữ cho nền tính lại nhe mấy bà..,2025-05-08 11:25:00,2025-05-18 08:14:25,00:22,1.5M,141.9K,7239,37.3K,13.8K,"6mui, traidep, handsome, thuphap",https://www.tiktok.com/@traidepnef1/video/7502034411777510663,7.379497418838019e+18,nhạc nền - 𝙝𝙩𝙝𝙖𝙣𝙝𓆝,573 videos,𝙝𝙩𝙝𝙖𝙣𝙝♡,False
khoa.hc.v.v.tr1,177.1K,7499313720082844958,BAO NHIÊU EM BÉ MỚI KÉO ĐƯỢC XE CYBERTRUCK?,2025-05-01 03:27:20,2025-05-18 08:14:39,01:00,996K,21.1K,186,1273,833,"learnontiktok, xh, khampha, khoahoc",https://www.tiktok.com/@khoa.hc.v.v.tr1/video/7499313720082844958,7.499313737505967e+18,nhạc nền - Khoa Học Phổ Thông,1 videos,Khoa Học Phổ Thông,False
minhquann0906,12.8K,7492777018426182930,🫣,2025-04-13 12:41:35,2025-05-18 08:14:53,00:14,14M,426.3K,6562,26K,17.9K,"bodoibienphong, hocvienbienphong, xuhuong",https://www.tiktok.com/@minhquann0906/video/7492777018426182930,7.434096170597584e+18,original sound - kkiividd,4490 videos,KIIVID,False
09751098766a,1715,7499452520578813202,ẩu quá,2025-05-01 12:25:57,2025-05-18 08:15:17,00:10,2.4M,161.1K,1214,30.6K,8015,"xuhuong, vairal",https://www.tiktok.com/@09751098766a/video/7499452520578813202,7.451593594115427e+18,nhạc nền - Phạm Tố Uyên,2696 videos,Phạm Tố Uyên,False
nhuqqlee,4578,7478516862884547848,"Hạnh phúc đôi khi đơn giản là có một công việc ổn định, tối về ăn cơm món mình thích, mua một món đồ vừa vặn tiền vẫn còn dư, thỉnh thoảng mua cho ba cho mẹ một món quà, gặp được người muốn gặp, đến một nơi bản thân muốn 💗",2025-03-06 02:24:54,2025-05-18 08:15:31,00:30,7.5M,100.7K,4762,2085,4426,,https://www.tiktok.com/@nhuqqlee/video/7478516862884547848,7.474832753071328e+18,nhạc nền - thietnhuy,846 videos,thietnhuy,False
kimchungphan20,1.9M,7473073925618928903,Hieu lam!,2025-02-19 10:23:32,2025-05-18 08:16:45,00:09,,329.2K,2535,82K,5728,,https://www.tiktok.com/@kimchungphan20/video/7473073925618928903,7.46340375326658e+18,,,,False
duytancog,120.7K,7498393235153341697,!,2025-04-28 15:55:23,2025-05-18 08:17:02,00:10,10.2M,224.8K,3508,157.7K,12K,,https://www.tiktok.com/@duytancog/video/7498393235153341697,7.063511175614434e+18,nhạc nền - kẻ có ý thức,2624 videos,không có gì để xemm,False
memanhmecungcon,20.9K,7497263585899416850,Tui đu concert để kiếm con rể thôi mấy ní ơi kkkkk,2025-04-25 14:51:46,2025-05-18 08:17:16,00:09,12M,497.2K,3892,22.2K,27.4K,"vietnamtoiyeu🇻🇳, hôchiminhmuonnam❤🇻🇳, giaiphongmiennam, xuhuongtiktok, 50namgiaiphongmiennnam🇻🇳",https://www.tiktok.com/@memanhmecungcon/video/7497263585899416850,7.497263612357021e+18,nhạc nền - Mẹ Mèo87,47 videos,Mẹ Mèo87,False
tuananhpham899,8404,7499304729340562696,Thích bé này quá mà không biết mở lời làm quen kiểu gì ae ạ:)),2025-05-01 02:52:27,2025-05-18 08:17:41,00:09,1.7M,71.8K,5296,18.7K,1880,,https://www.tiktok.com/@tuananhpham899/video/7499304729340562696,7.174670698688809e+18,Hỏi Vợ Ngoại Thành,2073 videos,NB3 Hoài Bảo,False
leminhchillguy,81.9K,7474958652093369607,Cư tê,2025-02-24 12:17:14,2025-05-18 08:17:55,00:11,5.7M,254K,2080,19.5K,13.7K,,https://www.tiktok.com/@leminhchillguy/video/7474958652093369607,7.474958693755342e+18,nhạc nền - Lê Minh Chill Guy👽,12.3K videos,Lê Minh Chill Guy👽,False
trangxinhremix,149.8K,7485319232838896914,Mưa Rơi Vào Phòng Remix - Nhạc Hót Tik Tok,2025-03-24 10:21:34,2025-05-18 08:18:10,10:00,,93.7K,792,2096,9971,"nhacremmix, tiktok, nhachaymoingay",https://www.tiktok.com/@trangxinhremix/video/7485319232838896914,7.485319325763866e+18,nhạc nền - Trang Xinh Music,3056 videos,Trang Xinh Music,False
tramnangluong24,101.8K,7490908276314344711,Trộm vía món nay ngon quớ ^^,2025-04-08 11:49:55,2025-05-18 08:18:25,01:22,7.5M,312.7K,1178,16.8K,14.6K,tramnangluong24,https://www.tiktok.com/@tramnangluong24/video/7490908276314344711,7.490908305306914e+18,nhạc nền - Trạm Năng Lượng,2 videos,Trạm Năng Lượng,False
oppahuyaction,433.9K,7500554788078144776,My condolences | Oppa Huy ☘️,2025-05-04 11:43:19,2025-05-18 08:18:59,00:31,20.8M,890K,31.8K,126.4K,72.5K,huyseoul,https://www.tiktok.com/@oppahuyaction/video/7500554788078144776,7.500555016126631e+18,nhạc nền - Oppa Huy Action 🎬,237 videos,Oppa Huy Action 🎬,False
mrhoa.barbershop,47.7K,7496454800544943368,Lâu lắm rồi không gặp. Không biết idol còn khóc nhè không nhỉ,2025-04-23 10:33:16,2025-05-18 08:19:16,00:07,6.5M,188.5K,2686,47.4K,12K,"mrhoabarbershop, tocnamsaigon, xuhuongtiktok, layerbung",https://www.tiktok.com/@mrhoa.barbershop/video/7496454800544943368,7.496454865976413e+18,nhạc nền - Mr Hoà Barbershop,11 videos,Mr Hoà Barbershop,False
