iter	RMSE
0	19.23204672
1	18.45564441
2	17.69421562
3	16.86546441
4	16.19681214
5	15.57015056
6	14.93869704
7	14.31382732
8	13.68272892
9	13.14194405
10	12.58431873
11	11.93517422
12	11.4561525
13	11.01730285
14	10.59454135
15	10.17344612
16	9.801195763
17	9.404300209
18	9.031570743
19	8.588403289
20	8.285586106
21	7.979137734
22	7.665243047
23	7.376671189
24	7.106487398
25	6.847435616
26	6.587320819
27	6.297594152
28	6.156928897
29	5.925251275
30	5.719001386
31	5.464491064
32	5.344772044
33	5.133986789
34	4.900766466
35	4.796685807
36	4.572041408
37	4.473467193
38	4.375198535
39	4.183229276
40	4.091808429
41	4.004869503
42	3.856870598
43	3.775971682
44	3.698406361
45	3.621966369
46	3.547804281
47	3.47555473
48	3.404527631
49	3.252499779
50	3.181015402
51	3.116642626
52	2.999524155
53	2.941443272
54	2.884254113
55	2.747475154
56	2.69171316
57	2.582279926
58	2.531896632
59	2.481463053
60	2.435119093
61	2.322651281
62	2.277651438
63	2.234193797
64	2.193770819
65	2.149471369
66	2.11032805
67	2.013573753
68	1.977198625
69	1.942601203
70	1.857123997
71	1.824684601
72	1.792446668
73	1.762148724
74	1.729836126
75	1.700606097
76	1.625066485
77	1.597695134
78	1.57110551
79	1.545677201
80	1.521520298
81	1.498199307
82	1.431328932
83	1.409520888
84	1.389120673
85	1.325076423
86	1.305869892
87	1.286149725
88	1.228959695
89	1.211449016
90	1.188906346
91	1.172547298
92	1.151618253
93	1.135727969
94	1.120643254
95	1.073089407
96	1.059013741
97	1.045290691
98	1.031909123
99	1.019229422
