iter	Passed	Remaining
0	3	324
1	5	275
2	7	252
3	9	237
4	12	230
5	14	226
6	16	220
7	18	218
8	21	215
9	23	210
10	25	207
11	27	204
12	30	201
13	32	198
14	34	196
15	36	193
16	39	190
17	41	188
18	43	185
19	45	183
20	47	180
21	50	177
22	52	175
23	54	173
24	56	170
25	58	167
26	61	165
27	63	163
28	65	160
29	67	158
30	70	156
31	72	153
32	74	151
33	76	148
34	78	146
35	80	143
36	83	141
37	85	139
38	87	136
39	89	134
40	91	132
41	94	130
42	96	127
43	98	125
44	100	123
45	103	121
46	105	118
47	107	116
48	109	114
49	112	112
50	114	109
51	116	107
52	119	105
53	121	103
54	123	101
55	126	99
56	128	97
57	130	94
58	133	92
59	135	90
60	137	88
61	140	85
62	142	83
63	144	81
64	147	79
65	149	77
66	151	74
67	154	72
68	155	70
69	158	67
70	160	65
71	162	63
72	165	61
73	168	59
74	170	56
75	172	54
76	174	52
77	177	50
78	179	47
79	182	45
80	184	43
81	186	41
82	189	38
83	191	36
84	193	34
85	196	31
86	198	29
87	200	27
88	203	25
89	205	22
90	207	20
91	209	18
92	212	15
93	214	13
94	216	11
95	218	9
96	221	6
97	223	4
98	225	2
99	227	0
