user_name,user_followers,vid_id,vid_caption,vid_postTime,vid_scrapeTime,vid_duration,vid_nview,vid_nlike,vid_ncomment,vid_nshare,vid_nsave,vid_hashtags,vid_url,music_id,music_title,music_nused,music_authorName,music_originality
hoaminzy_hoadambut,6.5M,7477145543064521992,Bắc Ninh vốn trọng chữ tình 🥰,2025-03-02 09:43:29,2025-05-14 09:27:39,00:23,40.4M,2.3M,33.3K,56K,105.8K,"bacbling, hoaminzy, bacninh, xuanhinh",https://www.tiktok.com/@hoaminzy_hoadambut/video/7477145543064521992,,Bắc Bling (Bắc Ninh) (Prod. by Masew) - Hòa Minzy & NSUT Xuân Hinh & Tuấn Cry,,,
benam410,33.5K,7479452835134868757,Ăn sáng 1 phần còn cất dành tiền mua Nguyên liệu tạo bất ngờ tự tay làm Bánh Tặng Mẹ🤣🤣  mắc Đi học cả Ngày tối về làm len lén mà Bị Mẹ la  bày Phá nên Em cọc🤣🤣🤣😂😂 yêu Trai Cưng,2025-03-08 14:56:57,2025-05-14 09:27:49,00:15,30.4M,844K,24.2K,249.1K,45.1K,,https://www.tiktok.com/@benam410/video/7479452835134868757,7479452888071244560,nhạc nền - Kẹo Tim Đỏ,73 videos,Kẹo Tim Đỏ,false
tinathaothi,4.5M,7498382042556566791,quá đẹp quá đỗi tự hào Việt Nam mình ơiiii 🇻🇳❤️,2025-04-28 15:11:57,2025-05-14 09:28:02,04:14,36.3M,3.8M,57.4K,652.1K,265K,"tinathaothi, tinathaothidaily",https://www.tiktok.com/@tinathaothi/video/7498382042556566791,7032129404927314715,nhạc nền - Đam Mê Bóng Đá,72.8K videos,Đam Mê Bóng Đá👻💖,false
m.ry.du.da,12.9K,7499328608528256274,Chỉ vì vài giây lơ là thôi mà em mẹ phải chịu đau đớn.,2025-05-01 04:25:06,2025-05-14 09:28:15,00:14,33M,453.3K,28.3K,130K,26.9K,thuongconcuame,https://www.tiktok.com/@m.ry.du.da/video/7499328608528256274,7499328661104184081,nhạc nền - Bùi Huyền,17 videos,Bùi Huyền,false
minhphandien2009,612,7501208197710089490,nay giả bot,2025-05-06 05:58:52,2025-05-14 09:28:31,01:06,633.2K,17.6K,484,1358,674,freefire,https://www.tiktok.com/@minhphandien2009/video/7501208197710089490,7501208255428233985,nhạc nền - Hoàng Văn Minh,1 videos,Hoàng Văn Minh,false
nhathoanghon,3.7M,7486813115984710917,Khi thầy thể dục thiên vị con gái trong lớp kiểu,2025-03-28 10:58:36,2025-05-14 09:28:43,02:54,3.5M,118.6K,1635,4058,9081,"nhathoanghon, vtmgr",https://www.tiktok.com/@nhathoanghon/video/7486813115984710917,7486813139217238839,nhạc nền - Hoàng Hôn 💋,3 videos,Hoàng Hôn 💋,false
duongqua6666,39.2K,7497179135979064583,Tưởng có lòng cứu giúp đạika nhưng lại trở mặt và cái kết...P.1,2025-04-25 09:24:03,2025-05-14 09:28:56,02:15,5.4M,108.1K,623,741,4950,"aexahoi, cuocsong, tintuc, giangho, phongca",https://www.tiktok.com/@duongqua6666/video/7497179135979064583,7274150782491330620,古风温馨幸福叙事 - 中国风仙侠流行音乐,610.8K videos,,false
khoi.k1,743.5K,7500484995727756587,THẦY BÙA MỌC NANH P1,2025-05-04 07:12:29,2025-05-14 09:29:09,05:17,,20.8K,204,901,1743,"tamlinh, chuyenma, kechuyen",https://www.tiktok.com/@khoi.k1/video/7500484995727756587,7500485112518249259,nhạc nền - Khoái Kể,3 videos,Khoái Kể,false
nam.nguyn.ngc281,34.5K,7491321980671642881,,2025-04-09 14:35:18,2025-05-14 09:29:24,01:03,,58.8K,3629,45.2K,5304,,https://www.tiktok.com/@nam.nguyn.ngc281/video/7491321980671642881,7382944317333179152,nhạc nền - Phi Thien Quan,5318 videos,Phi Thien Quan,false
erikkkofficial,2.4M,7480528502547123463,ERIK - 'Dù cho tận thế (vẫn yêu em)' (Wedding Version) | Live at LimLong's Wedding 💍🤵🏻👰🏻‍♀️,2025-03-11 12:31:06,2025-05-14 09:29:37,02:15,,679.1K,2697,36.7K,31.3K,"erik, duchotanthe, duchotanthevanyeuem, dctt, salim, longhatnhai, limlonglastinglove, tiktokgiaitri, nhachaymoingay",https://www.tiktok.com/@erikkkofficial/video/7480528502547123463,7480528602573540097,original sound - ERIK,6968 videos,ERIK,false
