user_name,user_followers,vid_id,vid_caption,vid_postTime,vid_scrapeTime,vid_duration,vid_nview,vid_nlike,vid_ncomment,vid_nshare,vid_nsave,vid_hashtags,vid_url,music_id,music_title,music_nused,music_authorName,music_originality
abahoatattoo,71.3K,7502050641603284245,Khách xăm Triệu Vân mà sao tô đen thui z Thỏ,2025-05-08 12:27:59,2025-05-14 20:46:02,00:59,13.4M,251.4K,790,2763,8341,"artist, tattoo, hinhxamdep, abahoatattoo, dcgr",https://www.tiktok.com/@abahoatattoo/video/7502050641603284245,7502050730354789137,nhạc nền - Hoá Tattoo,1 videos,Hoá Tattoo,false
tuankiet.2000,9.7M,7501653242284166408,Bất ngờ chưa 🥰,2025-05-07 10:45:52,2025-05-14 20:46:16,00:11,11.6M,778.5K,6175,152.2K,25.4K,fyp,https://www.tiktok.com/@tuankiet.2000/video/7501653242284166408,7354259524011805441,Mixset bồng bềnh vol 5,29.8K videos,VN New Track,false
beatvn_viralworld,4.7M,7501665798855904520,Tự nhiên thấy cái gì màu vàng vàng trông lạ quá ha =)))),2025-05-07 11:34:36,2025-05-14 20:46:29,00:24,12.8M,276.1K,1646,23.8K,12.2K,"beatviralworld, beatnetwork, bnetwork, beatoflife, beatvn",https://www.tiktok.com/@beatvn_viralworld/video/7501665798855904520,7501665853516172048,nhạc nền - Beatvn Viral World,5 videos,Beatvn Viral World,false
kinggroup_drama,23.2K,7501641851787611399,Mọi người hãy hoan hỷ mở lòng đón nhận lại với Ns Hoài Linh đi nhé,2025-05-07 10:01:40,2025-05-14 20:46:43,00:14,11.6M,185.2K,6019,5138,9713,"hoailinh, hoailam, damvinhhung, duongtrieuvu, drama, dramashowbiz, vbiz, nguyenphuonghang, phuonghang, showbiz, fyp, hot, thuytienquanglinh, quanglinhvlog, showbizviet, hangdumuc, kinggroup_drama",https://www.tiktok.com/@kinggroup_drama/video/7501641851787611399,7501641895576668945,nhạc nền - Drama Người Nổi Tiếng,14 videos,Drama Người Nổi Tiếng,false
anh.be.vui3,400.4K,7502432620886625556,Tốp ping lẩu tươi 🍲 quá nên mới phải làm v=)))) 😏,2025-05-09 13:10:16,2025-05-14 20:46:57,00:15,14M,434.3K,1811,32K,10.7K,"albertgetts, xuhuong, xyzabc",https://www.tiktok.com/@anh.be.vui3/video/7502432620886625556,7501607470688930577,Vì ai em vội quên ăn sángxtình ta hai ngã,48.2K videos,𝙏𝙞𝙩 𝙈𝙪𝙨𝙞𝙘,false
hangvo473,2253,7498944348927659272,Bóc trúng sít rịttt,2025-04-30 03:33:59,2025-05-14 20:47:09,00:15,1.8M,144.4K,349,4672,6201,"lehoanghiep, fyp",https://www.tiktok.com/@hangvo473/video/7498944348927659272,7477755445256506128,nhạc nền - Nguyễn Lụa,2413 videos,Nguyễn Lụa,false
pear_11th3,12.4K,7497871883333913863,"Phần 1 | xh đi, đừng flop nha 🥲",2025-04-27 06:12:16,2025-05-14 20:47:22,02:57,834K,23.4K,94,392,1527,"pear_11th3, eira_gr🥕, xh, fpy, viral, uyn1411, lnh_5th8",https://www.tiktok.com/@pear_11th3/video/7497871883333913863,7497872229330717457,nhạc nền - 𝑝𝑒𝑎𝑟,2 videos,𝑝𝑒𝑎𝑟,false
tbnaudio,6805,7497874627776007470,[TRUYỆN] THA THỨ CHO ANH ĐƯỢC KHÔNG | TIỂU BẢO NHI AUDIO [PHẦN 1],2025-04-27 06:22:55,2025-05-14 20:47:35,06:54,,21.8K,72,521,3318,"radio, audio, nauankechuyen, tongtai, ngontinhlangman, ngontinh, ngontinh, drama, fyp, viral, tieubaonhiaudio",https://www.tiktok.com/@tbnaudio/video/7497874627776007470,7497874787361262379,nhạc nền - Tiểu Bảo Nhi Audio,1 videos,Tiểu Bảo Nhi Audio,false
top1billow272,12.9K,7476900077416533255,Khi Mà Cái Top 3 Người Không Phải Cái Top Mạnh Nhất 🦈🔥,2025-03-01 17:50:57,2025-05-14 20:47:48,02:07,7.3M,201.5K,3968,7147,7955,"billow, lienquanmobile_garena, lienquanmobile, dn0821real",https://www.tiktok.com/@top1billow272/video/7476900077416533255,7434946522162432769,原声 - 爱音乐🎵,5232 videos,爱音乐🎵,false
chubansach,39.6K,7497852435436801298,,2025-04-27 04:56:48,2025-05-14 20:48:02,01:14,3.1M,86K,4188,13.4K,9052,"trietlycuocsong, baihoccuocsong, sachhay, chubansach",https://www.tiktok.com/@chubansach/video/7497852435436801298,7497852472799677201,nhạc nền - Chú Bán Sách,143 videos,Chú Bán Sách,false
