hashtag,trend_score,viral_score,engagement_score,growth_score,total_views,avg_engagement,usage_count
myuyen_1208,30.679378130553076,25.243900848847648,45.8767645938848,1.006812778920416,991400.0,116.90427678031068,1
09,29.16442206625807,23.72431955485647,43.955043973503436,0.9879965880432953,821900.0,30.47232023360506,1
fvpシ,28.505613429163493,23.258402229421716,43.241330839694584,1.006812778920416,734800.0,83.14221556886227,1
lửa,28.395297280994782,23.276142348558004,43.241330839694584,0.9879965880432953,1900000.0,49.26363157894737,1
lolfanfest2025,27.49983470324922,22.783434284815687,41.654903609085814,1.006812778920416,689400.0,37.28706121264868,1
jasper,27.445408926500193,22.62178985409691,41.79980493322057,1.006812778920416,1500000.0,31.4212,1
myalienz,27.238519927070918,22.62178985409691,41.79980493322057,1.006812778920416,1100000.0,32.063818181818185,1
geminifourth,26.638053673244308,22.261473225566004,41.79980493322057,1.006812778920416,737400.0,32.03783563873068,1
เพลงเศร้า,25.818971808730662,20.99925196604575,37.577943948421584,1.0064143848409144,1100000.0,30.318636363636365,1
anhtuan🍂,25.326059811738688,21.02142714315374,37.892123905930625,1.006812778920416,2300000.0,48.993391304347824,1
acoustic,25.230297114524713,20.99925196604575,37.577943948421584,1.006812778920416,1100000.0,30.318636363636365,1
jung_perses,25.03739207015111,20.68341389152362,37.577943948421584,1.006812778920416,962800.0,33.3988367262152,1
permpoon,24.979310528119886,20.68341389152362,37.577943948421584,1.006812778920416,689400.0,37.28706121264868,1
skyphasith,24.93736085425215,20.68341389152362,37.577943948421584,1.006812778920416,821900.0,30.47232023360506,1
gemini_nt,24.925498109354603,20.68341389152362,37.577943948421584,1.006812778920416,737400.0,32.03783563873068,1
