hashtag,trend_score,viral_score,engagement_score,growth_score,total_views,avg_engagement,usage_count
fyp,392.1475159403422,12.310456372364031,9.317837715148926,1164.230347701311,5412133496.0,9.342476775071175,1226
xuhuong,350.9975150587028,11.768826447730763,7.265953540802002,1062.4913735915104,3981188590.0,7.270169929977533,1087
viral,213.1853106389668,12.054810540216456,8.092710494995117,626.313209426418,2557215868.0,8.113973571777654,641
xh,186.73506019052564,11.919036696853416,7.932852268218994,537.2259342535851,1710825990.0,7.933637278128817,550
xuhuongtiktok,148.6537057105913,11.562740040177157,6.925683498382568,434.6479371476695,1534325700.0,6.901811971077574,440
trending,103.28884069488363,11.518788953446558,6.9326252937316895,291.83393767592685,1519388496.0,6.920545572977192,298
capcut,101.63303196005293,11.89322059760223,7.679163932800293,282.44010931284913,1121791592.0,7.660376193607995,290
foryou,82.65058570342624,11.973593560398893,8.706376075744629,220.27490321398855,972694200.0,8.715844907720745,221
myuyen_1208,76.79957033337823,24.987970933337937,114.99810028076172,0.9839192377779791,991400.0,116.90427678031068,1
tiktok,56.533957803522455,11.835539417261469,7.688207626342773,142.88337041504593,769830796.0,7.716085046373643,149
tiktokgiaitri,55.504543251644975,10.577421198313091,5.579675674438477,146.61325748093296,660072400.0,5.553389067155838,149
fypシ゚,51.42632553391511,11.929887655436374,8.360299110412598,123.66140204148262,696817500.0,8.377526588971353,122
vietnam,48.218060682688325,11.966855115862645,8.567118644714355,117.61148054141596,511772800.0,8.58707018154212,118
funny,43.412424592236874,10.901633089153265,6.671173095703125,104.88099147849938,559608500.0,6.647470490140507,107
xhtiktok,42.53451018073897,11.547971013088235,8.383056640625,99.58439851150058,269487500.0,8.431048739060982,100
trend,42.2193321133196,11.906919859498336,8.32725715637207,97.95555116223342,360026200.0,8.34844370002913,90
fvpシ,41.478167736172594,20.54861061002912,54.85793685913086,0.8921068999579342,734800.0,83.14221556886227,1
mchoiceartist,40.16922436438009,20.538409658718496,54.85793685913086,0.8921068999579342,729500.0,32.117066483893076,1
fypシ,39.41331900707009,12.331797151778341,9.89373779296875,84.325869273528,358498100.0,9.941299707097617,83
lửa,37.553023113965786,21.066396616606006,47.651432037353516,1.1394738117216692,1900000.0,49.26363157894737,1
learnontiktok,37.5153132918411,10.51994358296223,5.489166736602783,91.76334984473212,383446200.0,5.470222644995765,85
anhtuan🍂,37.380003561764426,21.08931333143605,48.568424224853516,1.0387422886401332,2300000.0,48.993391304347824,1
meme,36.59978994806107,11.973593560398893,8.706376075744629,78.74665084606681,335943300.0,8.703859258025968,77
foryoupage,35.933390405855306,11.936626099972623,8.896332740783691,78.41420584445278,434657000.0,8.894037345453587,82
j4f,34.737774910383145,11.576364621619515,9.359325408935547,71.79786305569948,260288500.0,9.387291751759957,72
