user_name,user_followers,vid_id,vid_caption,vid_postTime,vid_scrapeTime,vid_duration,vid_nview,vid_nlike,vid_ncomment,vid_nshare,vid_nsave,vid_hashtags,vid_url,music_id,music_title,music_nused,music_authorName,music_originality
..lenghi,2387,7490171845942152470,cũng đú tren mà nó lạ lắm à nhe...😁,2025-04-06 12:12:11,2025-05-19 09:08:16,00:08,2.8M,106.6K,7515,311.5K,4759,"trenmoi, lenghibadao, lenghi, xuhuon, trieuview, lenghihaihuoc",https://www.tiktok.com/@..lenghi/video/7490171845942152470,7.490171839184981e+18,nhạc nền - Lê Nghi 2,7 videos,Lê Nghi 2,False
tlaanhaohong,2882,7500581680277720328,Alo dậy đi học đii,2025-05-04 13:27:40,2025-05-19 09:08:33,00:09,3.3M,211.1K,7870,431.2K,12.9K,"xh, fyp",https://www.tiktok.com/@tlaanhaohong/video/7500581680277720328,,nhạc nền  - miss u,,,
k3n.aep11,89.2K,7503531820806343944,mấy bé nó dễ thương.,2025-05-12 12:15:43,2025-05-19 09:08:46,00:51,8.3M,501.4K,6727,461.9K,40K,"core, vncore, meme, j4f, pov, k3naep, k3nhollyland, mieamber, shurramie, shurramie🔥, shurramieyeucacban, universe_team🐳, nkngynkang_710, kenedit🕸️, kenedit_07, edit, editing, nguyen, fypシ, fyp, xuhuong2024, viral, viraltiktok, makeyourday, tiktokgiaitri, tiktokngaymoi, xuhuongtiktok2024, xuhuongtt, tiktokxuhuong",https://www.tiktok.com/@k3n.aep11/video/7503531820806343944,7.503531865874828e+18,nhạc nền - k3n.hσllчlαnd.,121 videos,k3n.hσllчlαnd.,False
povtrainghiem,34.3K,7480885780962069778,Ngày 1: Thử thách trốn trong Gấu Bông 7 ngày mà không bị CỰU CHIẾN BINH phát hiện,2025-03-12 11:37:31,2025-05-19 09:09:04,04:39,4.4M,115.9K,1240,3620,8281,"troll, grandpa, funny, pov_trải_nghiệm",https://www.tiktok.com/@povtrainghiem/video/7480885780962069778,7.480885983764925e+18,nhạc nền - povtrainghiem,2 videos,POV Trải Nghiệm,False
cauutbao2010,1624,7485655522570439944,sao hai ngón tay đó kh có móng nhỉ🤔,2025-03-25 08:06:33,2025-05-19 09:09:17,00:06,915.3K,36.8K,802,5173,2110,,https://www.tiktok.com/@cauutbao2010/video/7485655522570439944,7.485655551347527e+18,nhạc nền - ⚓ Tấn Huy ⚓,1 videos,Gấu Mê Hát🎤,False
nam.nguyn.ngc281,35.4K,7491321980671642881,,2025-04-09 14:35:18,2025-05-19 09:09:31,01:03,,59.1K,3659,45.3K,5325,,https://www.tiktok.com/@nam.nguyn.ngc281/video/7491321980671642881,7.382944317333179e+18,nhạc nền - Phi Thien Quan,5493 videos,Phi Thien Quan,False
traidepnef1,24.7K,7502034411777510663,Nay luyện viết chữ cho nền tính lại nhe mấy bà..,2025-05-08 11:25:00,2025-05-19 09:09:47,00:22,1.5M,144.8K,7409,38.2K,14.2K,"6mui, traidep, handsome, thuphap",https://www.tiktok.com/@traidepnef1/video/7502034411777510663,7.379497418838019e+18,nhạc nền - 𝙝𝙩𝙝𝙖𝙣𝙝𓆝,577 videos,𝙝𝙩𝙝𝙖𝙣𝙝♡,False
luc_dai_bong_gio,9574,7475682724951510279,Việc gì khó có Lục Đại lo❤️‍🔥,2025-02-26 11:07:00,2025-05-19 09:10:04,00:22,9M,444.3K,2411,15.1K,24K,"lucdaibonggio, 6chiem, trangphuctaiche",https://www.tiktok.com/@luc_dai_bong_gio/video/7475682724951510279,7.417381447209586e+18,nhạc nền - Cáo 🇰🇷🦊🌸,9460 videos,🦁Mợ 2 🦁 lion🦁,False
saaccyy,2466,7477611124469337351,😔😔😔,2025-03-03 15:50:11,2025-05-19 09:10:19,00:07,10.4M,665.6K,26K,885.7K,25.3K,fyp,https://www.tiktok.com/@saaccyy/video/7477611124469337351,7.360028859741261e+18,Follow tshaamano,36.5K videos,tshami🌻,False
streetfoodjourn3y,1.1M,7500933497356422408,Famous Nuclear Soda Aunty in India,2025-05-05 12:12:54,2025-05-19 09:10:33,01:01,85.1M,3.8M,41.3K,846.6K,238.6K,,https://www.tiktok.com/@streetfoodjourn3y/video/7500933497356422408,7.50093368382692e+18,original sound - STREET FOOD JOURNEY,72 videos,STREET FOOD JOURNEY,False
