user_name,user_followers,vid_id,vid_caption,vid_postTime,vid_scrapeTime,vid_duration,vid_nview,vid_nlike,vid_ncomment,vid_nshare,vid_nsave,vid_hashtags,vid_url,music_id,music_title,music_nused,music_authorName,music_originality
kittokatto2,1.1M,7494999546670386440,Hữu duyên gặp cô gái Trung Quốc dễ thương 🥰,2025-04-19 12:26:08,2025-05-15 01:21:25,01:46,3.5M,87K,1231,709,2746,,https://www.tiktok.com/@kittokatto2/video/7494999546670386440,7.494999658972974e+18,nhạc nền - Kitto,1 videos,Kitto,False
nlinh_o0,78.5K,7496485083390725383,,2025-04-23 12:30:47,2025-05-15 01:21:42,00:13,8.4M,744.2K,13.9K,41.4K,43.4K,"viral, fyp",https://www.tiktok.com/@nlinh_o0/video/7496485083390725383,7.496485111077031e+18,nhạc nền - Nhật Linh,234 videos,Nhật Linh đời thường🩴,False
taitoi.tiktokvn,602K,7492756804569500945,mỳ gói thập cẩm cả nhà ơi,2025-04-13 11:23:09,2025-05-15 01:21:56,05:57,4.9M,72.8K,3210,3534,3349,,https://www.tiktok.com/@taitoi.tiktokvn/video/7492756804569500945,7.367304051358535e+18,nhạc nền - Hưởng Đá Đời Thường🌏,562.4K videos,Hưởng Đá Đời Thường ⭐️,False
dtqn.14,971.8K,7481277435095321864,có lẽ là nỗi buồn này em nên mang theo hết đi,2025-03-13 12:57:20,2025-05-15 01:22:10,00:15,,169.8K,2016,7907,26.9K,"ninh09_music, xuhuong, fyp",https://www.tiktok.com/@dtqn.14/video/7481277435095321864,7.350337124551429e+18,nhạc nền - 𝙄𝙧𝙞𝙨,28.1K videos,𝙞𝙧𝙞𝙨,False
thaotrang_1001,26.1K,7472456582236851464,,2025-02-17 18:27:55,2025-05-15 01:22:25,00:06,,70.9K,885,7771,2398,,https://www.tiktok.com/@thaotrang_1001/video/7472456582236851464,7.46340375326658e+18,,,,False
top1billow272,12.9K,7476900077416533255,Khi Mà Cái Top 3 Người Không Phải Cái Top Mạnh Nhất 🦈🔥,2025-03-01 17:50:57,2025-05-15 01:22:38,02:07,7.3M,201.6K,3973,7154,7967,"billow, lienquanmobile_garena, lienquanmobile, dn0821real",https://www.tiktok.com/@top1billow272/video/7476900077416533255,7.434946522162433e+18,原声 - 爱音乐🎵,5238 videos,爱音乐🎵,False
hocvoihung,5942,7492681376290983176,Trả lời,2025-04-13 06:30:27,2025-05-15 01:22:55,07:47,640.2K,15.2K,1600,3558,3750,"huyhungofficial, khoinghiep, didonngoai, phunu, live, banhangonline",https://www.tiktok.com/@hocvoihung/video/7492681376290983176,7.492681843708939e+18,nhạc nền - Huyhungshop96,2 videos,Huyhungshop96,False
trambuon12,842.8K,7485407307065527559,Người ta hạnh phúc êm đềm mà sao anh cứ chênh vênh,2025-03-24 16:03:21,2025-05-15 01:23:10,00:26,,97.1K,797,3679,8712,"nhachaymoingay, tamtrang, sbkentertainment, trambuon12, nghelasuy12, xuhuong2024",https://www.tiktok.com/@trambuon12/video/7485407307065527559,,nhạc nền  - Nghe Là Buồn 📻,,,
liennguyen261087,6647,7486281325792529671,cách gắn giỏ hàng vào viideoo này các bà ơi,2025-03-27 00:34:59,2025-05-15 01:23:22,01:40,1.1M,19.8K,4141,5381,5057,"viralvideo, hàngchínhhãng, mebimxaykenh, hanhtrinhxaykenh",https://www.tiktok.com/@liennguyen261087/video/7486281325792529671,7.486281430079688e+18,nhạc nền - Ha Lien Shop 87,1 videos,Ha Lien Shop 87,False
cuonglamther,2.3M,7475727581380103445,Tý thì mất bữa cơm,2025-02-26 14:01:04,2025-05-15 01:23:36,00:31,,311.9K,4602,19.3K,19.6K,"cuonglamther, maayzii",https://www.tiktok.com/@cuonglamther/video/7475727581380103445,7.475727617855327e+18,nhạc nền - Cường Làm Ther,913 videos,Cường Làm Ther,False
quyenn0404,140.8K,7494974179595357447,Anh xoè đôi bàn tay trắng,2025-04-19 10:47:42,2025-05-15 01:23:52,00:17,4.6M,129.4K,1443,2463,5801,xuhuong,https://www.tiktok.com/@quyenn0404/video/7494974179595357447,7.489701777927949e+18,nhạc nền - Nguyen Hung 90,200.6K videos,Nguyen Hung 90,False
pocochibo,67.8K,7488966293702331703,Siêu thị ngoài hành tinh,2025-04-03 06:14:02,2025-05-15 01:24:06,06:52,4.3M,71.2K,920,4112,7674,,https://www.tiktok.com/@pocochibo/video/7488966293702331703,7.488966720536104e+18,nhạc nền - Mỗi ngày 1 video🙄,2 videos,Mỗi ngày 1 video🙄,False
bep_nho_mymy,1.2M,7491932674290994433,Cách làm sườn non rim sả ớt,2025-04-11 06:05:06,2025-05-15 01:24:20,03:23,7.3M,111.4K,1151,24.2K,35.7K,kenhcuamy,https://www.tiktok.com/@bep_nho_mymy/video/7491932674290994433,7.491933279382179e+18,nhạc nền - KÊNH CỦA MỸ,7 videos,KÊNH CỦA MỸ,False
felisdng,983,7499810647836888341,chemistry này mạnh quá t ko ngờ tới :))),2025-05-02 11:35:40,2025-05-15 01:24:36,00:17,3M,162.8K,1462,16.4K,3165,"fyp, trending, travel",https://www.tiktok.com/@felisdng/video/7499810647836888341,,nhạc nền - Thỏ Đi Bar - Thỏ Music 🎧,,,
phanvnxinh94,26K,7486037959725124871,,2025-03-26 08:50:36,2025-05-15 01:24:46,01:51,,96.7K,326,10.4K,9778,,https://www.tiktok.com/@phanvnxinh94/video/7486037959725124871,7.485355968625184e+18,nhạc nền - BÁ THƯƠNG 🇻🇳,71 videos,BÁ THƯƠNG 🇻🇳,False
annaaa.1110,29K,7493487254518697234,Vặt trụi lá trả cho anhhh 🤭,2025-04-15 10:37:40,2025-05-15 01:25:02,00:54,900K,24.7K,391,702,1750,"tiktokviral, tiktoklive, nhachaymoingay, trending, idollive, coversong",https://www.tiktok.com/@annaaa.1110/video/7493487254518697234,7.49348736422909e+18,nhạc nền - Anna🎙️🎀,310 videos,Anna 🎀,False
heyoodexy,141K,7502304552306183442,Kdal veal 😕,2025-05-09 04:53:17,2025-05-15 01:25:17,00:10,528.5K,112.6K,666,975,5987,"fypシ゚, xzyabc, 24hours",https://www.tiktok.com/@heyoodexy/video/7502304552306183442,7.499237558027636e+18,original sound - 🦟,1155 videos,🦟,False
gdhaisen.official,2.5M,7480872379720191250,Mời Cả Làng Ăn Cỗ…!,2025-03-12 10:45:31,2025-05-15 01:25:31,00:56,,498.2K,4991,9065,25.8K,,https://www.tiktok.com/@gdhaisen.official/video/7480872379720191250,7.48087252690674e+18,nhạc nền - Gia Đình Hải Sen,77 videos,Gia Đình Hải Sen,False
htt0069,25.9K,7490129453511675142,Củ cải đầy nhà ruộng đất thì phì nhiu🤣,2025-04-06 09:27:41,2025-05-15 01:25:47,00:13,2.6M,120.5K,1355,2362,6353,"phuocchanh, xhhhhhhhhhhhhhhhhhhhhhhh, nhanvatchinh, valentine2023",https://www.tiktok.com/@htt0069/video/7490129453511675142,7.488687911438863e+18,Công tử bạc liêu,174.1K videos,ᝰ.ᐟNấm୨ৎ,False
tuanta062,79.7K,7476467547261472007,Chỉ sợ chị bận nên sip tận phòng😉,2025-02-28 13:52:31,2025-05-15 01:26:02,00:11,,34.8K,377,3968,1714,"fiximobie, fixi, xh, xuhuong, iphone, trend, fyp, ip, viral, tuantramcan, emxinhofixi, fypシ゚, learnontiktok, j4f, banggia",https://www.tiktok.com/@tuanta062/video/7476467547261472007,7.476467586251886e+18,nhạc nền - TUẤN TRĂM CÂN🔰,2 videos,TUẤN TRĂM CÂN🔰,False
,,7496039067130334470,,2025-04-22 07:40:00,2025-05-15 01:26:17,,,5024,,,,,,,,,,
dy991891,960.8K,7496039067130334470,,2025-04-22 07:40:00,2025-05-15 01:27:08,00:15,,14.7M,144.2K,5.9M,917.5K,"baby, china",https://www.tiktok.com/@dy991891/video/7496039067130334470,7.496039017088175e+18,suara asli - ￶,5090 videos,￶DY991891,False
duyen_158200,2.8M,7498702580474760456,Combo tết tóc + niềng răng= Girl Thái Lan,2025-04-29 11:55:48,2025-05-15 01:27:23,00:15,5.6M,597.5K,1572,13.1K,23.6K,,https://www.tiktok.com/@duyen_158200/video/7498702580474760456,,เสียงต้นฉบับ  - SinBad,,,
daccongnuoc93,118.3K,7490165440824544518,Đặc Công Nước rèn luyện đêm,2025-04-06 11:47:20,2025-05-15 01:27:35,00:27,11.2M,480.8K,6670,19.5K,15.1K,"daccongvietnam, daccongnuoc5, daccongnuoc, qdndvn",https://www.tiktok.com/@daccongnuoc93/video/7490165440824544518,,nhạc nền  - 🎧𝙏𝘼𝙐𝙍𝙐𝙎🎭,,,
