user_name,user_nfollower,vid_id,vid_caption,vid_scrapeTime,vid_postTime,vid_duration,vid_nview,vid_nlike,vid_ncomment,vid_nshare,vid_nsave,vid_hashtags,vid_url,music_id,music_title,music_nused,music_authorName,music_originality
odayconhacbymznews,413.6K,7497098165007453458,Gu nhạc quẩy cỡ này không đó,2025-06-10 21:11:44,2025-04-25 18:09:51+07:00,00:38,,177.6K,664,4733,7410,"odayconhac, mznews, mznetwork, nhachaymoingay, vpop, tiktokgiaitri, amnhac, music, hiphop, thehecotnha",https://www.tiktok.com/@odayconhacbymznews/video/7497098165007453458,7.249885852561148e+18,Khu Tao Sống,6086 videos,,False
lan200597,6128,7500945710255312146,hành trình bé 🐰 về nhà sẽ thế nào??.. 😌❤️#..,2025-06-10 21:12:27,2025-05-06 03:00:17+07:00,00:15,3.9M,133.4K,385,659,2710,"xuhuong, xuhuongtiktok, lan200597, 🍀🍀🍀, 1❤️, phamvannam, ninhqueanh👩‍🏫",https://www.tiktok.com/@lan200597/video/7500945710255312146,6.817783012319562e+18,Ba Kể Con Nghe,105.1K videos,KSLOW,False
puchishiro,36.9K,7504179210886434056,Bùnnn,2025-06-10 21:13:26,2025-05-14 20:07:55+07:00,00:11,1M,87.8K,450,55.4K,3825,"xuhuong, viral, fyp, puchishiro, xh",https://www.tiktok.com/@puchishiro/video/7504179210886434056,7.400232308484263e+18,,,,False
ztet_,1.4M,7491333924128378130,Ni haoooo,2025-06-10 21:14:12,2025-04-10 05:21:39+07:00,00:07,5.2M,793K,3467,68.5K,43.2K,"fyp, ztet",https://www.tiktok.com/@ztet_/video/7491333924128378130,7.447011573971553e+18,,,,False
yzxstudioz,411.9K,7499607969919749384,The Strongest Duo - Heeko And Herobrine Vs The Impostor ( Part 1 ),2025-06-10 21:15:12,2025-05-02 12:29:10+07:00,04:50,2.8M,90.7K,2300,2299,9668,"monsterschool, minecraftanimation, foryoupage, fypシ゚, fypeeeeeeeeeeeeeeeeee",https://www.tiktok.com/@yzxstudioz/video/7499607969919749384,7.228559043555462e+18,,,,False
dnkhaii,940K,7494306592637193480,❤️❤️,2025-06-10 21:16:35,2025-04-18 05:37:07+07:00,00:13,2.9M,290.8K,1686,8196,15.3K,,https://www.tiktok.com/@dnkhaii/video/7494306592637193480,7.48707564424787e+18,,,,False
angkol_jun,125.1K,7495012649797815560,Daks bebe na 😂,2025-06-10 21:19:44,2025-04-20 03:16:59+07:00,00:30,4.6M,397.3K,8906,599.3K,33.4K,,https://www.tiktok.com/@angkol_jun/video/7495012649797815560,7.495012679998131e+18,,,,False
rhyder.dgh,1.8M,7489107923411569926,“Từ chối hiểu” challenge gì chưa anh đạo diễn 😎😎😎,2025-06-10 21:20:12,2025-04-04 05:23:38+07:00,00:39,2M,265.2K,3469,7092,24.5K,"rhyder, dghouse",https://www.tiktok.com/@rhyder.dgh/video/7489107923411569926,7.268667781771446e+18,Từ Chối Hiểu (feat. Quang Anh Rhyder),7810 videos,Vie Channel - Show|RHYDER,True
longandaxua,3.2M,7492267396716055816,Đứa hay cọc chơi với đứa lề mề kiểu,2025-06-10 21:20:59,2025-04-12 17:44:00+07:00,01:10,2.7M,118.7K,1325,12.8K,5639,"daxua, t1gteam, vietcomedy, hzmedia",https://www.tiktok.com/@longandaxua/video/7492267396716055816,6.752711871553372e+18,TikTok All-Star (V2),543.6K videos,,False
kimm._.san,146.2K,7487172765024390418,ni hao fine shyt,2025-06-10 21:21:28,2025-03-30 00:14:14+07:00,00:12,2.5M,287.3K,1801,16.4K,29.9K,"nihaofineshyt, lyrics, foryou, coversong, song, music, cover, singing, trend, fyp",https://www.tiktok.com/@kimm._.san/video/7487172765024390418,7.447011573971553e+18,nhạc nền - 💛Trang💛,391.9K videos,💛Trang💛,False
tinhbaobaque,58.2K,7505428641304661270,Chỉ còn 1 tháng nữa là tới ngày quân lực hạng tư. Gấp rút kêu gọi các tướng lãnh tụ họp làm lễ duyệt binh,2025-06-10 21:22:09,2025-05-18 04:56:21+07:00,01:43,1.4M,31.2K,5226,7055,1114,,https://www.tiktok.com/@tinhbaobaque/video/7505428641304661270,7.505428654143376e+18,,,,False
honggiangstar,50.2K,7503061778096508167,Biểu hiện của NGƯỜI VÔ DUYÊN,2025-06-10 21:22:40,2025-05-11 19:51:43+07:00,00:41,1M,40.3K,9907,35.9K,3616,"xuhuongtiktok, baihoccuocsong, songvuimoingay, khoedeptoandien, thongdiepcuocsong",https://www.tiktok.com/@honggiangstar/video/7503061778096508167,7.503061969210002e+18,nhạc nền - Hồng Giang Star,11 videos,Hồng Giang Star,True
mlem_mlem96_,109K,7503489214697311489,Tiết Sử Cuối Năm 11A2,2025-06-10 21:22:54,2025-05-12 23:30:23+07:00,01:24,2.8M,114.5K,2297,16.9K,6347,"travinh84, thpthieutu, giaoviencap3, giaovienlichsu",https://www.tiktok.com/@mlem_mlem96_/video/7503489214697311489,7.503489445497572e+18,nhạc nền - Cô Thoa Phù Thuỷ📚,1 videos,Cô Thoa Phù Thuỷ📚,True
umegiay.pp,569.5K,7504980355368127762,Chúc mừng sinh nhật Bác Hồ - Người anh hùng vĩ đại trong lòng hàng triệu người dân Việt Nam ❤️🇻🇳 (19/5/1890 - 19/5/2025),2025-06-10 21:23:11,2025-05-16 23:56:46+07:00,00:51,5.4M,205K,2503,22.4K,42.5K,"sinhnhat, bacho, hochiminh, vietnam, umegiay, learnontiktok",https://www.tiktok.com/@umegiay.pp/video/7504980355368127762,7.407028989217279e+18,Sẽ Chiến Thắng_QTrung Remix,1490 videos,Mixbox Music,False
doanto122004,324.8K,7503918244521102610,Xin lỗi chồng ơi em lỡ 🤣,2025-06-10 21:23:31,2025-05-14 03:15:14+07:00,07:45,1.4M,48.2K,906,1119,3342,"angicungduoc, monngonmoingay, ancungtiktok, giadinh",https://www.tiktok.com/@doanto122004/video/7503918244521102610,7.503918300666449e+18,nhạc nền - Ăn gì cũng được,2 videos,Ăn gì cũng được,True
