user_name,user_nfollower,vid_id,vid_caption,vid_scrapeTime,vid_postTime,vid_duration,vid_nview,vid_nlike,vid_ncomment,vid_nshare,vid_nsave,vid_hashtags,vid_url,music_id,music_title,music_nused,music_authorName,music_originality
anhtu_nh,919,7.50E+18,đếm ngược 5 tuần để tạm biệt các máy nói chuyện của toai 🫢🫢🫢,6/10/2025 22:44,2025-04-22 02:55:31+07:00,0:16,3050,193,60,16,8,"capcut, fyp, giaovientieuhoc, capcut",https://www.tiktok.com/@anhtu_nh/video/7495749290002828551,7.48E+18,nhạc nền - Minh Thư Chloe 𖧷,63.6K videos,Minh Thư Chloe 𖧷,FALSE
lethuha9898,5992,7.50E+18,Nail xinh,6/11/2025 11:52,2025-05-15 22:44:33+07:00,0:12,3187,393,15,3,10,,https://www.tiktok.com/@lethuha9898/video/7504590659081309448,7.49E+18,nhạc nền - thích khịa 2 bạn cùng lớp🤡🥰,4639 videos,❤️‍🔥,FALSE
a13.ndu,96,7.49E+18,bọn em xin lỗi cô...,6/11/2025 0:42,2025-04-14 03:43:59+07:00,0:05,3395,89,15,21,3,viral,https://www.tiktok.com/@a13.ndu/video/7492793095520554258,7.00E+18,,,,FALSE
nhuhoa_1993,1535,7.50E+18,Hi,6/10/2025 23:03,2025-05-05 19:12:14+07:00,0:15,3542,203,1,324,19,,https://www.tiktok.com/@nhuhoa_1993/video/7500825092998417682,7.46E+18,原声 - AaRon _ 475 DREAM MUSIC 夢幻音樂,149.5K videos,AaRon _ 475 DREAM MUSIC 夢幻音樂,FALSE
a_k30.ptdtntthcsnl,148,7.50E+18,Mộng yu về A_k30 điii!!!,6/10/2025 22:44,2025-04-27 06:33:33+07:00,0:23,3738,280,36,16,31,"xuhuong, xh, a_k30, siucute⭐️, trending, tiktok",https://www.tiktok.com/@a_k30.ptdtntthcsnl/video/7497660900816473360,7.50E+18,nhạc nền - A_k30 ptdtntthcsnglac,1 videos,A_k30 ptdtntthcsnglac,TRUE
6a2.thcs.l.t.trng,378,7.47E+18,Che mặt t.an vs g.Hân nhee😝😝,6/11/2025 0:30,2025-02-19 01:44:19+07:00,0:21,4113,1278,109,288,162,,https://www.tiktok.com/@6a2.thcs.l.t.trng/video/7472723659145186567,7.46E+18,nhạc nền - maicochen,233 videos,maicochen,FALSE
nvht1003,424,7.49E+18,THCS Mê Linh có toẹt zời khum ạaaa? 😆,6/10/2025 23:09,2025-03-27 04:21:05+07:00,0:33,4920,624,51,105,60,,https://www.tiktok.com/@nvht1003/video/7486123125415939336,7.45E+18,原聲 - Jia Kai,277 videos,追虧  (Jia Kai),FALSE
user9396847915871,1316,7.50E+18,,6/10/2025 22:42,2025-05-03 02:46:35+07:00,0:19,6007,1661,6,2,18,,https://www.tiktok.com/@user9396847915871/video/7499828923241352455,7.50E+18,nhạc nền - Yn,1 videos,Yn,TRUE
tannattraitim2,3088,7.50E+18,,6/11/2025 0:13,2025-04-25 03:01:17+07:00,0:09,7015,1963,41,584,123,,https://www.tiktok.com/@tannattraitim2/video/7496864029730786567,7.40E+18,original sound,32.8K videos,Shyun,FALSE
thcs.congchinh2025,577,7.48E+18,Công chínhhh chào xìnnnn 🫶🏻,6/10/2025 22:46,2025-03-02 15:29:16+07:00,0:17,7107,432,36,45,43,"xuhuong, xh, thcscongchinh, chat",https://www.tiktok.com/@thcs.congchinh2025/video/7477018186198584584,7.48E+18,nhạc nền - THCS Công Chính - Nông Cống,2 videos,THCS Công Chính - Nông Cống,TRUE
