user_name,user_followers,vid_id,vid_caption,vid_postTime,vid_scrapeTime,vid_duration,vid_nview,vid_nlike,vid_ncomment,vid_nshare,vid_nsave,vid_hashtags,vid_url,music_id,music_title,music_nused,music_authorName,music_originality
beatvn_viralworld,4.7M,7501665798855904520,Tự nhiên thấy cái gì màu vàng vàng trông lạ quá ha =)))),2025-05-07 11:34:36,2025-05-14 08:55:13,00:24,12.7M,274.2K,1633,23.6K,12K,"beatviralworld, beatnetwork, bnetwork, beatoflife, beatvn",https://www.tiktok.com/@beatvn_viralworld/video/7501665798855904520,7501665853516172048,nhạc nền - Beatvn Viral World,5 videos,Beatvn Viral World,false
kinggroup_drama,23K,7501641851787611399,Mọi người hãy hoan hỷ mở lòng đón nhận lại với Ns Hoài Linh đi nhé,2025-05-07 10:01:40,2025-05-14 08:55:36,00:13,11.4M,182.3K,5985,5072,9539,"hoailinh, hoailam, damvinhhung, duongtrieuvu, drama, dramashowbiz, vbiz, nguyenphuonghang, phuonghang, showbiz, fyp, hot, thuytienquanglinh, quanglinhvlog, showbizviet, hangdumuc, kinggroup_drama",https://www.tiktok.com/@kinggroup_drama/video/7501641851787611399,7501641895576668945,nhạc nền - Drama Người Nổi Tiếng,13 videos,Drama Người Nổi Tiếng,false
abahoatattoo,70.9K,7502050641603284245,Khách xăm Triệu Vân mà sao tô đen thui z Thỏ,2025-05-08 12:27:59,2025-05-14 08:55:51,00:59,12.9M,246.3K,778,2695,8121,"artist, tattoo, hinhxamdep, abahoatattoo, dcgr",https://www.tiktok.com/@abahoatattoo/video/7502050641603284245,7502050730354789137,nhạc nền - Hoá Tattoo,1 videos,Hoá Tattoo,false
plxh.vn,567.9K,7503203437115428138,Khoảnh khắc 18 giây cứu hộ điện giật ở Thanh Hoá 😍,2025-05-11 15:01:25,2025-05-14 08:56:06,00:21,,403.3K,7771,8624,15.8K,"tintuc, xahoi, viectot, khoanhkhac, thanhhoa, mayman, plxhvn, phapluatxahoi",https://www.tiktok.com/@plxh.vn/video/7503203437115428138,7503203594296970030,original sound - Pháp Luật Xã Hội,20 videos,Pháp Luật Xã Hội,false
hanoinews.theanh28,4.3M,7501595649025084680,"AI CÓ CAMERA HÀNH TRÌNH ĐI QUA ĐOẠN ĐÈN ĐỎ MẬU LƯƠNG, XALA ĐẾN SIÊU THỊ ĐỨC THÀNH VÀO KHOẢNG 10H SÁNG NAY THÌ XIN GỬI CHO GIA ĐÌNH 😥",2025-05-07 07:02:23,2025-05-14 08:56:22,00:29,,487.3K,5666,15.7K,17.7K,"tiktoknews, hanoinews, theanh28",https://www.tiktok.com/@hanoinews.theanh28/video/7501595649025084680,,Take Your Ease Under The Stars - NS Records,,,
_suachuadanhda_02,35K,7478955985453780242,Cre: Nhật Minh,2025-03-07 06:48:55,2025-05-14 08:56:36,01:56,,94.6K,2241,6987,6967,"fyp, xuhuongtiktok, xhuonggggg🐰",https://www.tiktok.com/@_suachuadanhda_02/video/7478955985453780242,7478956097492044560,nhạc nền - Fragile Guy ★℘★,2 videos,Fragile Guy ★℘★,false
kienchoi01,2.1M,7479646916075113736,Sĩ diện tí với mấy đứa có người yêu 😂,2025-03-09 03:30:05,2025-05-14 08:56:53,00:18,,150.5K,2300,11.5K,9203,"xuhuong, kienchoi, phamthu",https://www.tiktok.com/@kienchoi01/video/7479646916075113736,7479647081662139152,nhạc nền - Kiên Chổi ✅,32 videos,Kiên Chổi ✅,false
sevenreal2005,588.4K,7471093677776030993,Xin Chào🇻🇳,2025-02-14 02:19:09,2025-05-14 08:57:08,00:32,3.5M,250.7K,5423,12.7K,20.6K,"sevenff, freefire, nhasangtaofreefire",https://www.tiktok.com/@sevenreal2005/video/7471093677776030993,7470456919011298064,original sound,1881 videos,B A Z I G A R,false
kaiser10020229,2093,7500439033504451858,xem ping lê🗿,2025-05-04 04:14:07,2025-05-14 08:57:25,07:12,422.8K,19.1K,642,1792,1499,"bluelock, capcut",https://www.tiktok.com/@kaiser10020229/video/7500439033504451858,7500439249716595473,nhạc nền - phúc dz🗿,2 videos,rin itoshi kfc🗿,false
knownest4,45.5K,7501166032518728968,"Dù mù mắt, Gohan vẫn khiến cả khán đài choáng váng với cú phản đòn kinh điển!",2025-05-06 03:15:15,2025-05-14 08:57:40,02:53,1.4M,41K,153,426,1502,dragonball,https://www.tiktok.com/@knownest4/video/7501166032518728968,7178770185317255170,Limitless (无限),62.3K videos,SeVen.13,false
