username,caption,likes,comments,shares,undefined,video_url,video_id,sound_id,uses_sound_count,hashtags
tinathaothi,,518.4K,10.4K,30.8K,18.6K,https://v16-webapp-prime.tiktok.com/video/tos/alisg/tos-alisg-pve-0037c001/oUQRdn0EOBuubgRm7TIAGFEBAeD3AzhEofcRSU/?a=1988&bti=ODszNWYuMDE6&ch=0&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C&cv=1&br=1568&bt=784&cs=2&ds=3&eid=17152&ft=-Csk_m7nPD12NhQpnE-Ux8t2hY6e3wv25-cAp&mime_type=video_mp4&qs=14&rc=aDM1ODY5NTVpZWVoaDc8N0BpMzM6N3c5cjdoeTMzODczNEBfLS8yYDNjX14xMmEtY2NfYSM0aG1uMmRjLTRgLS1kMTFzcw%3D%3D&btag=e000a0000&expire=1744217013&l=2025040800335679A51534374294067943&ply_type=2&policy=2&signature=8f3397b777aef77c25b98a51a6cbc0d1&tk=tt_chain_token,,7480163946972859137,,"tinathaothi, tinathaothidaily"
auaudouyin,,960.8K,10.5K,63.3K,104.9K,https://v16-webapp-prime.tiktok.com/video/tos/alisg/tos-alisg-pve-0037c001/okeg2sgIEjDAsUPFCaBL1na0nc1BREgWQObKfw/?a=1988&bti=ODszNWYuMDE6&ch=0&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C&cv=1&br=678&bt=339&cs=2&ds=3&eid=16896&ft=-Csk_m7nPD12NhQpnE-Ux8t2hY6e3wv25-cAp&mime_type=video_mp4&qs=14&rc=NDY0NDplZjU2M2hmOTw4NUBpajhzPG05cjs1eDMzODczNEAvLTEzXzU0XmIxM2MwMC1iYSNhZGJxMmRzbmxgLS1kMTFzcw%3D%3D&btag=e000a0000&expire=1744216778&l=2025040800335679A51534374294067943&ply_type=2&policy=2&signature=dc795393f6403b5757566688c5608520&tk=tt_chain_token,,7471523175147326225,,reviewphim
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
tinathaothi,,518.4K,10.4K,30.8K,18.6K,https://v16-webapp-prime.tiktok.com/video/tos/alisg/tos-alisg-pve-0037c001/oUQRdn0EOBuubgRm7TIAGFEBAeD3AzhEofcRSU/?a=1988&bti=ODszNWYuMDE6&ch=0&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C&cv=1&br=1568&bt=784&cs=2&ds=3&eid=17152&ft=-Csk_m7nPD12NhQpnE-Ux8t2hY6e3wv25-cAp&mime_type=video_mp4&qs=14&rc=aDM1ODY5NTVpZWVoaDc8N0BpMzM6N3c5cjdoeTMzODczNEBfLS8yYDNjX14xMmEtY2NfYSM0aG1uMmRjLTRgLS1kMTFzcw%3D%3D&btag=e000a0000&expire=1744217013&l=2025040800335679A51534374294067943&ply_type=2&policy=2&signature=8f3397b777aef77c25b98a51a6cbc0d1&tk=tt_chain_token,,7480163946972859137,,"tinathaothi, tinathaothidaily"
auaudouyin,,960.8K,10.5K,63.3K,104.9K,https://v16-webapp-prime.tiktok.com/video/tos/alisg/tos-alisg-pve-0037c001/okeg2sgIEjDAsUPFCaBL1na0nc1BREgWQObKfw/?a=1988&bti=ODszNWYuMDE6&ch=0&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C&cv=1&br=678&bt=339&cs=2&ds=3&eid=16896&ft=-Csk_m7nPD12NhQpnE-Ux8t2hY6e3wv25-cAp&mime_type=video_mp4&qs=14&rc=NDY0NDplZjU2M2hmOTw4NUBpajhzPG05cjs1eDMzODczNEAvLTEzXzU0XmIxM2MwMC1iYSNhZGJxMmRzbmxgLS1kMTFzcw%3D%3D&btag=e000a0000&expire=1744216778&l=2025040800335679A51534374294067943&ply_type=2&policy=2&signature=dc795393f6403b5757566688c5608520&tk=tt_chain_token,,7471523175147326225,,reviewphim
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
tinathaothi,,518.4K,10.4K,30.8K,18.6K,https://v16-webapp-prime.tiktok.com/video/tos/alisg/tos-alisg-pve-0037c001/oUQRdn0EOBuubgRm7TIAGFEBAeD3AzhEofcRSU/?a=1988&bti=ODszNWYuMDE6&ch=0&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C&cv=1&br=1568&bt=784&cs=2&ds=3&eid=17152&ft=-Csk_m7nPD12NhQpnE-Ux8t2hY6e3wv25-cAp&mime_type=video_mp4&qs=14&rc=aDM1ODY5NTVpZWVoaDc8N0BpMzM6N3c5cjdoeTMzODczNEBfLS8yYDNjX14xMmEtY2NfYSM0aG1uMmRjLTRgLS1kMTFzcw%3D%3D&btag=e000a0000&expire=1744217013&l=2025040800335679A51534374294067943&ply_type=2&policy=2&signature=8f3397b777aef77c25b98a51a6cbc0d1&tk=tt_chain_token,,7480163946972859137,,"tinathaothi, tinathaothidaily"
auaudouyin,,960.8K,10.5K,63.3K,104.9K,https://v16-webapp-prime.tiktok.com/video/tos/alisg/tos-alisg-pve-0037c001/okeg2sgIEjDAsUPFCaBL1na0nc1BREgWQObKfw/?a=1988&bti=ODszNWYuMDE6&ch=0&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C&cv=1&br=678&bt=339&cs=2&ds=3&eid=16896&ft=-Csk_m7nPD12NhQpnE-Ux8t2hY6e3wv25-cAp&mime_type=video_mp4&qs=14&rc=NDY0NDplZjU2M2hmOTw4NUBpajhzPG05cjs1eDMzODczNEAvLTEzXzU0XmIxM2MwMC1iYSNhZGJxMmRzbmxgLS1kMTFzcw%3D%3D&btag=e000a0000&expire=1744216778&l=2025040800335679A51534374294067943&ply_type=2&policy=2&signature=dc795393f6403b5757566688c5608520&tk=tt_chain_token,,7471523175147326225,,reviewphim
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
tinathaothi,,518.4K,10.4K,30.8K,18.6K,https://v16-webapp-prime.tiktok.com/video/tos/alisg/tos-alisg-pve-0037c001/oUQRdn0EOBuubgRm7TIAGFEBAeD3AzhEofcRSU/?a=1988&bti=ODszNWYuMDE6&ch=0&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C&cv=1&br=1568&bt=784&cs=2&ds=3&eid=17152&ft=-Csk_m7nPD12NhQpnE-Ux8t2hY6e3wv25-cAp&mime_type=video_mp4&qs=14&rc=aDM1ODY5NTVpZWVoaDc8N0BpMzM6N3c5cjdoeTMzODczNEBfLS8yYDNjX14xMmEtY2NfYSM0aG1uMmRjLTRgLS1kMTFzcw%3D%3D&btag=e000a0000&expire=1744217013&l=2025040800335679A51534374294067943&ply_type=2&policy=2&signature=8f3397b777aef77c25b98a51a6cbc0d1&tk=tt_chain_token,,7480163946972859137,,"tinathaothi, tinathaothidaily"
auaudouyin,,960.8K,10.5K,63.3K,104.9K,https://v16-webapp-prime.tiktok.com/video/tos/alisg/tos-alisg-pve-0037c001/okeg2sgIEjDAsUPFCaBL1na0nc1BREgWQObKfw/?a=1988&bti=ODszNWYuMDE6&ch=0&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C&cv=1&br=678&bt=339&cs=2&ds=3&eid=16896&ft=-Csk_m7nPD12NhQpnE-Ux8t2hY6e3wv25-cAp&mime_type=video_mp4&qs=14&rc=NDY0NDplZjU2M2hmOTw4NUBpajhzPG05cjs1eDMzODczNEAvLTEzXzU0XmIxM2MwMC1iYSNhZGJxMmRzbmxgLS1kMTFzcw%3D%3D&btag=e000a0000&expire=1744216778&l=2025040800335679A51534374294067943&ply_type=2&policy=2&signature=dc795393f6403b5757566688c5608520&tk=tt_chain_token,,7471523175147326225,,reviewphim
,,,,,,,,,,
,,,,,,,,,,
