user_name,user_followers,vid_id,vid_caption,vid_postTime,vid_scrapeTime,vid_duration,vid_nview,vid_nlike,vid_ncomment,vid_nshare,vid_nsave,vid_hashtags,vid_url,music_id,music_title,music_nused,music_authorName,music_originality
anbecks,210.7K,7486817346951105797,2 vì tinh tú,2025-03-28 11:15:01,2025-05-16 03:14:02,00:18,25.1M,1.4M,25.3K,1.2M,84.8K,"anbecks, hoathinh, animation",https://www.tiktok.com/@anbecks/video/7486817346951105797,,SỰ NGHIỆP CHƯỚNG - Pháo,,,
phamquynhhoaa,2.7M,7494632777782955271,Chị thích chị nói z đó =))),2025-04-18 12:42:53,2025-05-16 03:14:29,00:10,28.1M,1.1M,15.3K,37.8K,51.3K,,https://www.tiktok.com/@phamquynhhoaa/video/7494632777782955271,,nhạc nền - Quỳnh iu 🫶🏻T - Quỳnh anh nè ✨,,,
hoaminzy_hoadambut,6.5M,7477145543064521992,Bắc Ninh vốn trọng chữ tình 🥰,2025-03-02 09:43:29,2025-05-16 03:14:45,00:23,40.5M,2.3M,32.2K,56.2K,105.9K,"bacbling, hoaminzy, bacninh, xuanhinh",https://www.tiktok.com/@hoaminzy_hoadambut/video/7477145543064521992,,Bắc Bling (Bắc Ninh) (Prod. by Masew) - Hòa Minzy & NSUT Xuân Hinh & Tuấn Cry,,,
benam410,33.6K,7479452835134868757,Ăn sáng 1 phần còn cất dành tiền mua Nguyên liệu tạo bất ngờ tự tay làm Bánh Tặng Mẹ🤣🤣  mắc Đi học cả Ngày tối về làm len lén mà Bị Mẹ la  bày Phá nên Em cọc🤣🤣🤣😂😂 yêu Trai Cưng,2025-03-08 14:56:57,2025-05-16 03:15:01,00:15,30.5M,845.7K,24.1K,249.3K,45.2K,,https://www.tiktok.com/@benam410/video/7479452835134868757,7479452888071244560,nhạc nền - Kẹo Tim Đỏ,75 videos,Kẹo Tim Đỏ,false
lathanhc4,1.5M,7497933866359966996,Shotgun trong tay mèo meo,2025-04-27 10:12:48,2025-05-16 03:15:21,02:20,3.9M,193.1K,3982,5699,9927,"freefire, c4gaming",https://www.tiktok.com/@lathanhc4/video/7497933866359966996,7400452029985164049,suara asli - 🎶𝔹𝔼ℕ'ℤ,38.5K videos,𝐁𝐄𝐍'𝐙 𝐌𝐔𝐒𝐈𝐂𝐀𝐋🎧™,false
hotieuaudio,4732,7490568539548503304,TRUYỆN AUDIO || KHOM LƯNG VÌ EM || HỒ TIÊU AUDIO,2025-04-07 13:51:34,2025-05-16 03:15:40,06:23,1M,68.2K,249,3392,14.2K,"truyenaudio, ngontinh, review, ngot, audiotruyen, hotieuaudio, audio, truyenngontinh",https://www.tiktok.com/@hotieuaudio/video/7490568539548503304,7490568639419140880,nhạc nền - Hồ Tiêu Audio,5 videos,Hồ Tiêu Audio,false
s.tht.s.tht0,3138,7501362622751689985,"Hiệu trưởng Phạm Thị Dinh, vợ ông Nguyễn Văn Hà nguyên Chủ tịch, Phó Bí thư Huyện ủy Eakar - Đắk Lắk""lộng quyền"" và thách thức pháp luật ? Bà P.T.D là một Đảng viên ""quái thai"" có xứng đáng đứng trong hàng ngũ Đảng? Năm hết, tết đến nên đập phá hệ thống cửa lớp học để kiếm tiền về tiêu tết?",2025-05-06 15:58:07,2025-05-16 03:16:00,03:43,3.9M,101.9K,3580,21.6K,4594,,https://www.tiktok.com/@s.tht.s.tht0/video/7501362622751689985,7501362869977254657,nhạc nền - Sự Thật Sự Thật,2 videos,Sự Thật Sự Thật,false
kt.uye,75.3K,7496148234209955090,FAKE ALL | hậu phương của trần hạo nam,2025-04-22 14:43:38,2025-05-16 03:16:20,01:54,2.4M,133.3K,459,4248,7545,"tieuman58💚, haonam, nz_faiqeing, 婕珍qien_team, hry🐰, xuhuong, xh, xh, xh",https://www.tiktok.com/@kt.uye/video/7496148234209955090,7496148266984819472,nhạc nền - 𝙆𝙩𝙪𝙮𝙩,7 videos,𝙆𝙩𝙪𝙮𝙩,false
gamkami,9.4M,7495231666751917320,Nói chung là cũng cũng :))),2025-04-20 03:26:53,2025-05-16 03:16:38,00:27,2.9M,117.1K,551,2319,3131,,https://www.tiktok.com/@gamkami/video/7495231666751917320,7495231750814173953,nhạc nền - Gấm Kami,1 videos,Gấm Kami,false
leminhchillguy,81.9K,7474958652093369607,Cư tê,2025-02-24 12:17:14,2025-05-16 03:16:57,00:11,5.7M,253.4K,2079,19.5K,13.7K,,https://www.tiktok.com/@leminhchillguy/video/7474958652093369607,7474958693755341584,nhạc nền - Lê Minh Chill Guy👽,12.3K videos,Lê Minh Chill Guy👽,false
